Kabupaten/Kota;Status Kabupaten/Kota;Kecamatan;Desa/Kelurahan;Status Desa/Kelurahan
Asahan;Kabupaten;Aek Kuasan;Aek Loba;Desa
Asahan;Kabupaten;Aek Kuasan;Aek Loba Afdeling I;Desa
Asahan;Kabupaten;Aek Kuasan;Alang Bonbon;Desa
Asahan;Kabupaten;Aek Kuasan;Lobu Jiur;Desa
Asahan;Kabupaten;Aek Kuasan;Rawa Sari;Desa
Asahan;Kabupaten;Aek Kuasan;Sengon Sari;Desa
Asahan;Kabupaten;Aek Kuasan;Aek Loba Pekan;Kelurahan
Asahan;Kabupaten;Aek Ledong;Aek Bange;Desa
Asahan;Kabupaten;Aek Ledong;Aek Korsik;Desa
Asahan;Kabupaten;Aek Ledong;Aek Ledong;Desa
Asahan;Kabupaten;Aek Ledong;Aek Nabuntu;Desa
Asahan;Kabupaten;Aek Ledong;Ledong Barat;Desa
Asahan;Kabupaten;Aek Ledong;Ledong Timur;Desa
Asahan;Kabupaten;Aek Ledong;Padang Sipirok;Desa
Asahan;Kabupaten;Aek Songsongan;Aek Bamban;Desa
Asahan;Kabupaten;Aek Songsongan;Aek Songsongan;Desa
Asahan;Kabupaten;Aek Songsongan;Lobu Rappa;Desa
Asahan;Kabupaten;Aek Songsongan;Marjanji Aceh;Desa
Asahan;Kabupaten;Aek Songsongan;Mekar Marjanji;Desa
Asahan;Kabupaten;Aek Songsongan;Perkebunan Bandar Pulau;Desa
Asahan;Kabupaten;Aek Songsongan;Perkebunan Bandar Selamat;Desa
Asahan;Kabupaten;Aek Songsongan;Situnjak;Desa
Asahan;Kabupaten;Aek Songsongan;Tangga;Desa
Asahan;Kabupaten;Air Batu;Air Genting;Desa
Asahan;Kabupaten;Air Batu;Air Teluk Hessa;Desa
Asahan;Kabupaten;Air Batu;Danau Sijabut;Desa
Asahan;Kabupaten;Air Batu;Hessa Air Genting;Desa
Asahan;Kabupaten;Air Batu;Hessa Perlompongan;Desa
Asahan;Kabupaten;Air Batu;Perkebunan Air Batu I-II;Desa
Asahan;Kabupaten;Air Batu;Perkebunan Air Batu III-IV;Desa
Asahan;Kabupaten;Air Batu;Perkebunan Pulahan;Desa
Asahan;Kabupaten;Air Batu;Pinanggiripan;Desa
